product name,price
"Apple iPhone SE (Black, 64 GB)","₹42,500"
"Apple iPhone SE (White, 64 GB)","₹42,500"
"Apple iPhone SE (Black, 128 GB)","₹47,800"
"Apple iPhone SE (White, 128 GB)","₹47,800"
"Apple iPhone 7 (Black, 32 GB)","₹29,499"
"Apple iPhone 11 (Black, 64 GB)","₹68,300"
"Apple iPhone XR (Black, 64 GB)","₹52,500"
"Apple iPhone 11 (Black, 128 GB)","₹73,600"
Apple MacBook Pro Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MUHN2HN/A,"₹1,04,990"
Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,"₹65,990"
Apple MacBook Air Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MVFH2HN/A,"₹94,990"
Apple AirPods with Charging Case Bluetooth Headset with Mic,"₹14,602"
Apple AirPods with Wireless Charging Case Bluetooth Headset with Mic,"₹17,999"
Apple MK0C2ZM/A Pencil for iPad Stylus,"₹8,499"
"Apple iPhone 11 (White, 64 GB)","₹68,300"
"Apple iPhone 11 (White, 128 GB)","₹73,600"
"Apple iPhone 7 Plus (Black, 32 GB)","₹36,999"
"Apple iPhone XR (White, 64 GB)","₹52,500"
"Apple iPhone 11 (Purple, 128 GB)","₹73,600"
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹52,500"
"Apple iPhone 11 (Green, 128 GB)","₹73,600"
"Apple iPhone 11 (Green, 64 GB)","₹68,300"
Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,"₹1,89,000"
Apple MacBook Air Core i3 10th Gen - (8 GB/256 GB SSD/Mac OS Catalina) MWTJ2HN/A,"₹92,990"
