product name,price
"Apple iPhone SE (Black, 64 GB)","₹42,500"
"Apple iPhone SE (White, 64 GB)","₹42,500"
"Apple iPhone SE (Red, 64 GB)","₹42,500"
"Apple iPhone SE (Black, 128 GB)","₹47,800"
"Apple iPhone SE (White, 128 GB)","₹47,800"
"Apple iPhone 7 (Black, 32 GB)","₹29,499"
"Apple iPhone 11 (Black, 64 GB)","₹68,300"
"Apple iPhone 11 (Black, 128 GB)","₹73,600"
Apple MacBook Air Core i5 5th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MQD32HN/A A1466,"₹65,990"
Apple MacBook Pro Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MUHN2HN/A,"₹1,04,990"
Apple MacBook Air Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MVFH2HN/A,"₹94,990"
Apple AirPods with Charging Case Bluetooth Headset with Mic,"₹14,602"
Apple AirPods with Wireless Charging Case Bluetooth Headset with Mic,"₹17,999"
Apple White MMX62ZM/A Lightning to 3.5 mm Phone Converter,₹899
"Apple iPhone 11 (White, 64 GB)","₹68,300"
"Apple iPhone XR (Black, 64 GB)","₹52,500"
"Apple iPhone 11 (White, 128 GB)","₹73,600"
"Apple iPhone 7 Plus (Black, 32 GB)","₹36,999"
"Apple iPhone 11 (Purple, 128 GB)","₹73,600"
"Apple iPhone XR (White, 64 GB)","₹52,500"
"Apple iPhone XR ((PRODUCT)RED, 64 GB)","₹52,500"
"Apple iPhone 11 (Green, 128 GB)","₹73,600"
Apple MacBook Pro Core i7 9th Gen - (16 GB/512 GB SSD/Mac OS Catalina/4 GB Graphics) MVVJ2HN/A,"₹1,89,000"
Apple MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVK2HN/A,"₹2,39,900"
Ant Audio Wave Sports 535 Bluetooth Headset,"₹1,199"
Apple MD836HN/A 12W USB Power Adapter,"₹1,699"
"Apple iPhone XR (White, 128 GB)","₹57,800"
"Apple iPhone 11 (Red, 64 GB)","₹68,300"
"Apple iPhone XR (Blue, 64 GB)","₹52,500"
"Apple iPhone XR (Coral, 64 GB)","₹52,500"
"Apple iPhone 11 Pro Max (Silver, 256 GB)","₹1,31,900"
"Apple iPhone 11 Pro Max (Midnight Green, 256 GB)","₹1,31,900"
"Apple iPhone 11 Pro (Silver, 64 GB)","₹1,06,600"
"Apple iPhone 11 Pro (Midnight Green, 64 GB)","₹1,06,600"
Apple MacBook Pro Core i9 9th Gen - (16 GB/1 TB SSD/Mac OS Catalina/4 GB Graphics) MVVM2HN/A,"₹2,39,900"
Apple MacBook Pro Core i5 7th Gen - (8 GB/128 GB SSD/Mac OS Sierra) MPXR2HN/A,"₹1,12,990"
Apple MacBook Pro Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Mojave) MV962HN,"₹1,54,990"
Hitage in-Ear Earphone Wired Headset with HD Voice Mic (Black) Wired Headset,₹169
quadronic Earphone Wired Headset,₹250
Apple Watch Series 3 GPS - 42 mm Space Grey Aluminium Case with Black Sport Band,"₹23,900"
"Apple iPhone 8 (Silver, 64 GB)","₹38,999"
"Apple iPhone 11 (Yellow, 128 GB)","₹73,600"
"Apple iPhone 11 Pro (Space Grey, 256 GB)","₹1,21,300"
"Apple iPhone 11 Pro (Midnight Green, 256 GB)","₹1,21,300"
"Apple iPhone 11 Pro Max (Gold, 64 GB)","₹1,17,100"
"Apple iPhone 11 Pro Max (Space Grey, 64 GB)","₹1,17,100"
"Apple iPhone 7 Plus (Silver, 32 GB)","₹36,999"
"Apple iPhone 11 Pro (Gold, 64 GB)","₹1,06,600"
GALI BAZAR galA183 Bluetooth Headset,"₹1,499"
Brown Bee M9 Rich Bass Strome Quality Earphone Wired Headset,₹151
Apple MD592HN/A MagSafe 2 Power Adapter for MacBook Air  45 W  Adapter,"₹7,499"
"Apple iPhone SE (White, 256 GB)","₹58,300"
"Apple iPhone 7 (Gold, 32 GB)","₹36,999"
"Apple iPhone 11 Pro (Gold, 256 GB)","₹1,21,300"
"Apple iPhone X (Silver, 64 GB)","₹84,999"
"Apple iPhone 8 (Gold, 64 GB)","₹38,999"
"Apple iPhone 7 (PRODUCT) (Red, 256 GB)","₹63,999"
"Apple iPhone 8 Plus (Gold, 64 GB)","₹76,000"
"Apple iPhone XS Max (Space Grey, 512 GB)","₹1,19,900"
Apple MacBook Air Core i5 8th Gen - (8 GB/256 GB SSD/Mac OS Mojave) MVFL2HN/A,"₹1,11,190"
Apple MacBook Air Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MRE82HN/A,"₹1,08,990"
Apple MacBook Air Core i5 8th Gen - (8 GB/128 GB SSD/Mac OS Mojave) MREE2HN/A,"₹1,06,990"
MGEdge App_le Headphone Original Branded Earphone Buds 2 all Mobile Wired Headset,₹399
